Tweet,label
" lo belum lahir atau belom sekolah bong saya rasa.... Atau bapak lo pki bong Bandit , rampok atau sejenis yg menganggu orang banyak? Pak Soeharto dibilang kejam hanya oleh orang2 Pki Bandit Rampok Bong bong bongakkk [URL]",negative
bagi yang dulunya usaha terus skrg jd karyawan macam gue pasti bawaannye pgn usaha lagi . ga ada yang ngatur .flexible. lbh banyak duit. faaak,negative
Salah satu efek merapi sama bom bagi orang yang mau bikin event. Negara lain takut ke Jogja dan Indonesia karena. Jadi aku lagi ada event internasional dan beberapa negara belum konfirmasi karena takut sama merapi sama teror juga. Moga merapi lekas reda :) moga ngga ada bom lagi.,negative
Baiknya Gubernur Anies Baswedan dimosi tdk percaya biar lengser [USERNAME] ! [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [URL],negative
Kaum oposisi tidak bikin geger-an di media termsk medsos ketika Rupiah menguat.... Musim ribut-nya khusus wkt terjadi pelemahan saja... dg menyalahkan semuanya kpd Presiden [USERNAME] ....  [URL],negative
"Lagi puasa tp dri pagi udah kesana kemari mmbawa alamat,, eh ayuting2 kalee.. enggk ding. Ini knpa siang2 tetangga sbelah goreng telur yah, kan baunya smpe idung gw hikss piye sih mbak?",negative
[USERNAME] Heee aku kemarin ngeliat hoak tetang pohon plastik pertama kali dr akun anda ygdisebarkan lewat fb .... ini bukan saja nol besar tp skaligus nonjok muka junjungan sdr ... terima kasih,negative
"[USERNAME] Min ini gimana? Kurirnya salah kirim, malah ke alamat orang. Trs pertanggung jawabannya gimana? Tolong respon secepatnya. Thanks. [URL]",negative
Ini pas banget! Gue habis baca buku ada bule PDKT bilang cariin rumah sama.mobil. dicariin mobil sama rumah mewah si bule Ok dan niat kirim uang sekitar $100jt tp pake pos. Bilang sama hadiah lain. Tp gak masuk akal kirim yang sebanyak itu pake pos [URL],negative
[USERNAME] [USERNAME] [USERNAME] [USERNAME] Masalahnya itu uang buat konsumsi buka puasa bareng anak yatim yang harus dibayarkan ke katering ..,negative
Niat ke masjid sholat nya di lantai 2 berharap bisa obob manjah krn biasanya ga banyak yg solat disini. Fact: Fullhouse mpe shaf belakang. Bhay!,negative
"Paling excited kalo ngobrol sama orang kreatif, siap saja kalo bakal tercengang sama ide mereka yang mungkin belum pernah terpikirkan olehmu: ""Oh iya, kenapa aku baru kepikiran?""  ",positive
"Miris : Menciptakan 'karya' dengan susah payah yang menguras pikiran,tenaga,waktu dan materi,... KALAH oleh oknum yg menjiplak dan/atau sekedar terima beres memanfaatkan karya orang lain dengan gimmik dan sensasi. Gimana menurut [USERNAME] ??",negative
"Sebelah mana stereotyping-nya dari pernyataan saya? Coba ditunjukkan, siapa tahu saya salah bicara. Bagus dong kalau banyak yang mengecam. Semakin banyak makin terdengar suara untuk kebenaran, semakin bagus. Kalau benar tapi kalah keras sama yang salah, itu yang harus diatasi. [URL]",negative
Tipikal cowo menye menye bgt ni. Paling ngga bisa diajak argumen. Menyalahkan orang dan mengeluh terus ni manusia maha sempurna. Pen ngatain goblok tapi puasa.,negative
Tiada henti 2ny q mengucap syukut alhmdllh.... Skrg aku bsa.... Uang jadi panitia kmrn alhmdllh trmkah kau bri brlmpah.... Mski tak sbrpa inysllh lma2 mmbukit amn [URL],positive
"Kamu mau ngomong apa.Kayaknya kamu dendam kpd Anies.Pernah disakiti olh gub Anies?Salah apa Anies kpdmu?.Knp dendam?Kamu klmpok DKI42% yg tdk puny gub,Anies bukan [URL] pada tempatnya kamu maki2 Anies.Salah. [URL]",negative
Ketika di group keluarga udah pada ngomongin mudik. Duuh pengen mudik. Tapi apa daya suami libur cuma 4 hari dr hari H lebaran. Itu juga kalo g di telpon disuruh masuk. 2 tahun lalu malah habis sholat eid lgsg kerja ,negative
Orang yg pernah kalah dalam pertarungan POLITIK sulit untuk bisa disembuhkan Karena mereka tdk bs meraih impian dan sdh kehilangan banyak Harta.,negative
"Nggada sinyal di rumah, membuatku banyak berfikir, berfikir doank tapi, pikiran ke mana mana, random.. Tapi pasti ada dia :(",negative
"Ada khabar kasus tuduhan chat mesum terhadap Imam Besar Habib Rizieq sdh dihentikan, mohon bantu doa semoga benar adanya. Semoga kesucian Ramadhan membuka mata hati bapak2 kita yg menyidik.amin",negative
"Jangan ngecengin gua lagi ya gaes [USERNAME] [USERNAME] [USERNAME], orang ini udah ada blog-nya juga.. ..ya walaupun nulisnya nggak jam 2 dinihari sih.",negative
Cari orang2 yg selalu menyudutkan Ansor. Sabar itu bagus tp kalau terus menerus difitnah disalahkan jangan tinggal diam Saatnya,negative
"halohaa selamat siang Denise Udah pulang sekolah belum nih ? Jangan lupa makan siang ya, oh iya gimana udah sehatan kan kamu ? Kalo emang masih kurang sehat ya banyakin istirahat aja sekarang"" Kk selalu nunggu kok tweet"" dari k",positive
"Itu lah bodoh mu bong.. disuruh baca, tidak mau baca... PBB CIKAL BAKALNYA DARI MASYUMI , PBB =KELUARGA BESAR BULAN BINTANG = MASYUMI dasar bong200",negative
Mudah2an sudah terupload smua sebelum z mudik Karna fans modal quota pun butuh daerah dengan jaringan yang bagus.. hiksss Hitungan jam juga br slsi kalo z mo donlot ini di rumahku pi ,negative
Orang pendukung khilafah memang harus di black mail [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [URL],negative
"jangan sok akrab ye mention mention gue , maling dulu aje yg bener nanti kalo udah sukses jadi malingnye baru gue bales mentionan lu lu pada .. #SalamSatuNyaliLari #BonekJancuk [URL]",negative
"Alhamdulillah Prof, setelah berbicara semalam di [USERNAME] adem rasanya, semoga membawa keberkahan. Aamiin Yaa Rabbal 'Aalamiin.",positive
"Keren!! Kira-kira masih ada nggak yg bilang Pak [USERNAME] anti-islam? 3,5 triliun, 142 hektar, jadi kampus rujukan Islam dunia sekelas Al-Azhar. Belum lagi proyek Ponpes, madrasah, Masjid dan fasilitas ummat lain. Kl ada yg masih bilang Beliau an",positive
"[USERNAME] saya kan datang untuk bertanya, kemudian ngobrol tuh sama mba mba Help desk. tapi saya tetep ga ngerti karena ga dapet jawaban yg menjawab pertanyaan saya. trus mbanya lama lama agak emosi, yaudah makin ga kejawab dong, trus saya pulang.",negative
"Sering tuh gua digituin pas kalo baru ketemu Apsara lagi ""kok perawatannya makin banyak? Makin gendut aja sih "" wah senyum aja iya2in aja dalem hati ""bacot lu anjing""",negative
"kalo sifat buruk mungkin bisa dirubah dengan bertambahnya umur atau berubahnya keadaan. kalo kebiasaan buruk mungkin sulit ya? karena semacam udah jadi hobi, gitu ga sih?",negative
" berdesakan..bejubelan, di kRL adalah salah satu godaan dalam berpuasa.....apalagi d dpn nya ada wanita cantik sambil ngunyah tahu gejrot...hehe..",negative
[USERNAME] #belanjaitugakribet ternyata cm slogan doang.stelah dkomplen ternyata dbatalin sepihak. Dan nama besar itu ndak jaminan keprofesionalan ya..trus nyampein ke pihak official store klo sy yg batalin..pdhl samsek ga sy batalin.jd skrg sy udh tau kal,negative
Happy birthday to us [USERNAME] and happy 6th anniv wkwkwk Bentar lagi kita putus huhu aku harus cari pacar baru :3 [URL],positive
Terus.. Baca komen2nya pada bilang kalo musik itu haram. Dan bla bla. Nah disini aku tau. Kalo fanatik kan emang gaboleh. Tp kalau sekedar suka gitu gimana?,negative
"Rabu, 06-06-2018, anakbujangku selesai menempuh pendidikan di TK Bhakti Ibu, Bakauheni. Eit, ternyata ia dapat piala jugak hehehe",positive
SAYA HIDUP DIZAMAN PRESIDEN HEBAT YAITU SOEHARTO.. Beliau Buat Aman dan tenang untuk Masyarakat..... Tetapi tidak tenang untuk: Kaum PKI Kaum Rampok Kaum Bandit Kaum yg ingin jadi pejabat negara tapi otaknya kosong. Hanya kaum itulah yg Tidak Suka Bapak SOEHARTO [URL],negative
"Bersama segenap dewan guru.. Terimakasih telah membimbing anak kami selama ini, Bu.. Semoga ibu-ibu semua dimudahkan segala urusannya, dan ilmu yang ibu ajarkan menjadi amal jariah yang pahalanya akan terus mengalir ke ibu, selamanya.. [URL]",positive
"Gue emang cuek sih , bgt bgt malah tp kl ada yg buat risih atau gak nyaman ya hati2 aja lah pokoknya.. Jangan sampe gue ajak nongkrong breng ",negative
"Bagi anda anda yg dianugerahi gigi rapi dari lahir, bersyukurlah ! Karena pake behel ternyata lebih sakit daripada sakit hati. #menurutguesih",negative
" Alhamdulillah Pie,,di RSUP Kariadi ini bener2 diurus, jd sudah gak panas tinggi lg soalnya langsung dikasih Paracetamol yg botolan",positive
"Melihat udah terlalu banyak [USERNAME] project yang jatohnya malah jadi scam dan fraud, asli gue pengen coba deh bawa mereka sama creator creator mereka yang udah bawa kabur duit banyak orang (termasuk gue) ke ranah hukum Indonesia.",negative
"Soal Via Vallen, Gue Sepakat Sama Nikita Mirzani jangan lebay! Kalau Gak Suka Di gituin, tinggal tolak dan block tu orang, jgn di share2 jadi konsumsi publik! Kek ingin menampilkan kepolosan tak berdosa gimana gituu.. #menurutkusih ",negative
"Baru 'ngerusuh' di balai desa Terus pas mau pulang tadi, bu lurah nanya, ""Mba Ulfah... itu temannya yang satu ke mana sih, kok ndak kelihatan?"" ""Hah? Teman saya buk? O.o"" Bu Lurah: ""Iya, yang biasa bareng, dari senin ndak berangkat lho."" WAIT, DARI SENIN????",negative
"Mba PPS: ""Tuh, pasti ada apa-apa.... mba Ulfa juga pasti ngerasa ini kok ga ada."" ""....Sebentar, sebentar..."" DIA KENAPA LAGI SIH, DARI SENIN GA BERANGKAT :""( Bikin khawatir aja T.T",negative
"Hadeh ini lagi Satu Cewe yg udh pikirannya jahat, jari jarinya jahat. Dinikmati? Heh mbak emang penyanyi dangdut itu auto lonte? Lonte juga bisa kena sexual harassment mbaaaak.",negative
"lu ngapa si galau mulu:( lu kalo galau banyak diem, kalau lg seneng gabisa diem. Mangat dong kak nanas seneng itu bisa nularin ke orang2 loh:( wkwk",negative
Sudah berjuta kali bong dikasih tau.. Pak Harto hanya kejam : Pki Bandit Rampok Lo keturunan kelompok mana bong??? Hahahahaha,negative
"Sebentar lagi ketemu krucil-krucil ponakan yang gemesin banget, suka nya minta main berantem-beranteman. Seru sih meskipun ya resiko pada pegel-pegel nantinya, sedikit-sedikit sambil ngajarin berhitung agar #JadiLebihBaik lagi Nanti pas masuk sekolah",positive
"Lalu bagaimana dengan negara? Mereka akan kehilangan banyak pendapatan dari cukai rokok. Hutang negara akan semakin banyak. Ah, itu kan hanya pembenaranmu saja. Coba lihat ini! Bagaimana? Apa pendapatmu masih sama? [URL]",negative
"Eh tapi numbuhin brewok juga buat nyenengin diri sendiri sih, compliment dari sesama cowok bonus lah. Tapi ga dirawat dikit langsung tumbuh liar atau gatel banget",negative
"Kosan deket kantor, dateng paling telat, trus kalo siang tidur pula selonjoran di sofa. Temen kantor kaya gini emang perlu dikatain tai sih.",negative
"si [USERNAME] ini ngga bisa seenak dewe melepaskan tanggung jawab ke backers cuma berdasarkan ToC antara Kickstarter selaku penyedia platform crowd-funding, creators, dan backers. ToC tetap tunduk ke hukum yang berlaku di governing law si ToC. Gue mau cari legal loophole nya. [URL]",negative
Ada anak sma habis perpisahan atau semacam wisuda sekolah. Foto bareng sama temen-temennya sejawat dgn pakai kebaya lalu di post di IG dengan caption 'Nanti siapa ya yang bakal nikah duluan'. Ku langsung tertunduk lesu dan seraya ingin minum extra joss. Cuk.,negative
"Awak sih jd org slow, mau di omongin a to z asal ale bnyk makan, ngga cranky, berat naik udh bahagia. Mslh apapun jd kyk ngga ada. Ibu2 bgt sih skrg",positive
Ganti presiden? Siapa takut...hanya siapa calonnya? Apa si doi yg onoh? Ih gak syudih,negative
"Para penipu ,kasihan ibukota negara gw di pimpin sama mereka2 yg haus jabatan tanpa mementingkan rakyatnya ,,,tai buat [USERNAME] [USERNAME]",negative
"Perginya diantar sama teman, gak bawa HP. Udah janjian biar dijemput jam setengah 2. Krna sayanya ketiduran, dan yg jemput gak nongol2, bingung mau gmna. Akhirnya jalan kaki 2 km siang bolong. Ngeri kali lahh~~ vanashh syekaleh vemirsyahh",negative
"iya, kamu laki-laki, sang pengambil keputusan. tapi kan aku juga ingin dianggap, diajak berdiskusi, dimintai pendapat, diajak mencari jalan keluar, atau sekadar ditenangkan kecemasannya. aku ini ada. jangan hidup sendiri. [USERNAME]",negative
"Akhirnya ingin berkata juga, aku ga mau sakit, knp migrain ini harus dtg saat lagi byk2nya masalah yg membutuhkan tenaga mikir, apalagi bentar lg harus mudik. Ya Allah kenapa coba ",negative
"Pengen cerita dari kemaren gak sempet. Beberapa hari yg lalu tarawih di masjid gak konsen banget posisi lagi apes. Gimana gak, posisi solat di shaf depan ada mas2 pake sarung trus sarung nya nyeplak pantatnya pas banget, ketat. Kampret, pen ngakak tp lagi solat. Syit.",positive
Congratulation [USERNAME] semoga dilancarkan dan dapat kesempatan memandang orang orang di panggung [USERNAME] Break a leg!!! [URL],positive
"Gak jamin deh. Tapi gemana pak Police [USERNAME] , siap gak kerja tanpa pungli dan sejenisnya. Korup, pungli itu bagai addicted. Sekali nyoba, keenakan. Nambah lagi deh. #generasiantikorupsi",negative
"Looh, kok merendahkan semangat perlindungan perempuan sih? Justru jadi cewek itu kudu tegas dan galak sama laki2 kek gitu! Di block aja udah..ngapain di share2 sampe se indonesia tau",negative
"Udah semingguan ga ada kabar wkwkwkwk Akunya sibuk ngurus rapot sama ijazah anak :""( Terus ga nanya kabarnya dia juga selama seminggu Sahabat macam apa kamu :""(",negative
haaaa syabar ajaaa... beloman waktunya buat ikutttt... pemerintah ajanihhh yg ketumbenan ngasih liburnya kepanjangaaannnnnn :((((,negative
Dimohon jangan paksa saya buat include dmn. Harap sopan dan jelas kalo mau bo jangan labil! Gajelas will be block!!!!!!! Tentu saja yg sudah taatin rule saya utamakan,negative
"Pembukaan tidak pernah di AMANDEMEN CEBONG BUSUK ATAS BERKAT RAHMAT ALLAH YANG MAHA KUASA... LO BACA PEMBUKAAN UUD1945, DISITU SEMUA DASAR NEGARA R.I BONG20O MEMANG BONGAK",negative
